name;city;start_day;start_month;start_year;end_day;end_month;end_year;Latitude;Longtitude;link
Las categorías gramaticales. Relaciones y diferencias, treinta años después;Madrid;30;0;2019;02;1;2019;-25.35549511989399;-177.90184916674843;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347916
L’épilinguistique et le métalinguistique en linguistique énonciative;Paris Est-Marne La Vallée;17;0;2019;18;0;2019;4.014880527676886;5.71608150672298;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335436
Linguistics and its Historical Forms of Organization and Production;Paris;24;0;2019;26;0;2019;-41.17823586856949;33.20578616377344;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328316
Linguistic Society of America 93rd Annual Meeting;New York, NY;03;0;2019;06;0;2019;-66.32724839239063;-122.32802950597106;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329876
Modern Language Association: Selected Topics in Romance Linguistics;Chicago, IL;03;0;2019;06;0;2019;-34.01295224911562;95.85459117290611;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317056
Particles in German, English and Beyond;Saarbrücken (Saarland University);21;0;2019;22;0;2019;-36.29157097517479;-131.39228780876718;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345396
Secrets of Success. Or: How to preserve a Verb Second word order?;Oslo;10;0;2019;11;0;2019;-19.027740232636226;133.66962630467626;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345916
Society for Computation in Linguistics Second Meeting;New York, NY;03;0;2019;06;0;2019;-43.28174425967604;-109.47825652669579;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328816
Society for Pidgin and Creole Linguistics - Winter Conference 2019;New York;03;0;2019;06;0;2019;82.13548924460943;-74.51468485538255;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334436
Spatial Patterns of Language Evolution;Zurich;24;0;2019;24;0;2019;70.12949909807253;39.43193672417298;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341176
Teaching General Linguistics Classes - LSA Special Session;New York, NY;03;0;2019;06;0;2019;-7.7348272196324155;69.89760751791374;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327696
The 9th International Conference on Han Characters Education and Research;Ho Chi Minh City University of Education, Vietnam;19;0;2019;21;0;2019;82.50879472721755;12.970046986990786;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340396
The Society for the Study of Indigenous Languages of the Americas Winter Meeting 2019;New York City, NY;03;0;2019;06;0;2019;-74.86659020751404;42.90543453764236;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322916
Workshop: Multilingualism, Contact and Documenting Endangered Languages;New York, New York;06;0;2019;06;0;2019;-66.40029332066258;-103.87694358814312;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338196
11th International Conference on Middle English;Florence;05;1;2019;08;1;2019;66.0712240147697;1.7473849425907182;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=315817
18th SLAT Interdisciplinary Roundtable;Tucson;08;1;2019;09;1;2019;-84.64614011268564;-156.63958470741488;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352076
1st FARMM Challenge Formal Approaches to Romance Microvariation and Microcontact;Barcelona;15;1;2019;15;1;2019;3.8382592086442875;-168.75093630994485;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342436
29th Annual Graduate and Professional Symposium on Hispanic and Luso-Brazilian Literature, Language and Culture:;Tucson, AZ;22;1;2019;23;1;2019;38.966402509333506;-90.58177717331553;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356476
2nd International Cyprus Undergraduate Linguistics Conference;Nicosia;16;1;2019;17;1;2019;-19.182446222295994;-24.54868350599828;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345436
3rd Workshop on the Use of Computational Methods in the Study of Endangered Languages;Honolulu, Hawai'i;26;1;2019;27;1;2019;39.03553439239981;86.7158155371973;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334236
40th Annual Southwest Popular/American Culture Association;Albuquerque, NM;20;1;2019;23;1;2019;1.3687937418356173;59.96528986121288;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342856
45th Incontro di Grammatica Generativa;Padova;21;1;2019;23;1;2019;-46.67257319918798;-115.15909954906567;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347536
4th International Conference ‘From Theory to Practice in Language for Specific Purposes’;Zagreb;21;1;2019;23;1;2019;72.42512886684678;108.24352900800534;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335616
4th Intonation Workshop;Toronto, ON;15;1;2019;15;1;2019;50.10724035046476;-30.127741689512913;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348016
4th Workshop on Turkic and Languages in Contact with Turkic;New York, New York;16;1;2019;17;1;2019;-87.91544692743508;-65.42285200722351;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340417
5th International Conference on the Teaching of French;San Juan;28;1;2019;02;2;2019;-57.810364798408244;-20.192283258221497;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330116
6th National Symposium on Spanish as a Heritage Language;McAllen, Texas;21;1;2019;23;1;2019;-56.11665564535392;-97.47191886929717;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329896
7th International Conference on Endangered and Lesser Known Languages;kolkata;20;1;2019;23;1;2019;54.98213336786354;-134.78568204120364;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329977
AISV Conference 2019: Audio Archives at the Crossroads of Speech Sciences, Digital Humanities and Digital Heritage;Arezzo;14;1;2019;16;1;2019;16.019530809382115;-140.11202576730346;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338396
AItLA 2019: Minority Languages Between Localism and Globalization;Cagliari;21;1;2019;23;1;2019;55.97578884963823;-73.6818596496442;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335976
American Association for the Advancement of Science;Washington DC;14;1;2019;17;1;2019;-87.10527993047896;143.13866028864172;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347176
Applied Winter Linguistics Conference 2019 (ALWC);Binghamton, New York;09;1;2019;09;1;2019;-13.464852306778436;69.5973866607307;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345456
Australian Humour Studies Network conference;Melbourne, Victoria;06;1;2019;08;1;2019;52.695424499183154;-127.63742046188082;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326337
BLS Workshop: Countability Distinctions;Berkeley, CA;08;1;2019;09;1;2019;44.53522004480132;84.09463494195884;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350476
ConSOLE XVII 2019;Berlin;21;1;2019;23;1;2019;-17.45350318286625;78.13885573831793;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332316
Corpora for Language and Aging Research 4: Interaction, Methods, and Positions;Helsinki;27;1;2019;01;2;2019;-71.28373108700842;-164.5618591882692;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332216
Crossing the Border between Spanish and English: Current issues, future perspectives, linguistic and literary insights;Ghent;05;1;2019;06;1;2019;51.5577977147618;8.171581473919305;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331716
Explanation and Prediction in Linguistics. Formalist and Functionalist Approaches;Heidelberg, Baden-Württemberg;13;1;2019;14;1;2019;-14.736225865910566;140.65666102974333;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352716
First Conference of Indonesian Community for Forensic Linguistics;Pekanbaru, Riau Province;09;1;2019;09;1;2019;-33.01555314955788;179.6300148116916;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355396
Giornate di Studi Scientifici sul Linguaggio II - 2019;Rovereto (TN);11;1;2019;12;1;2019;-37.56572344403859;168.75091439499718;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354716
Integration of Universities into International Academic Community: Tradition and Modern Tendencies;Ulyanovsk;14;1;2019;16;1;2019;83.35017079645588;30.753209958243282;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341576
International Conference on Hindi as a Second / Foreign Language;Lisbon;06;1;2019;08;1;2019;-77.8195702962379;-35.71388869120134;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323776
International Conference on Indigenous Languages, Societies and Cultures of India;Hyderabad, Telangana;21;1;2019;22;1;2019;0.7157771414759847;-120.01929709611738;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343796
"International Conference on Language Documentation &amp; Conservation";Honolulu, Hawaiʻi;28;1;2019;03;2;2019;56.22680253231429;-31.210093114548922;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327796
International Conference on Pluricentricity vs. Pluriareality - Models, Varieties, Approaches;Münster;08;1;2019;10;1;2019;62.51629178070487;86.39080997848237;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344116
International Mother Language Conference;Kitui County;20;1;2019;22;1;2019;-58.07046754917168;-123.69387731086415;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355036
Language, Identity and Education in Multilingual Contexts;York;14;1;2019;16;1;2019;57.710622453038226;-153.7112655780184;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337856
Mobile Language Learning Experience;New York, NY;21;1;2019;22;1;2019;-26.032057900889058;-175.3821006390945;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331856
Multimodale Kommunikation in den Hypermedien - Herausforderungen für die Deutschdidaktik;Bochum;06;1;2019;08;1;2019;19.005398710633763;3.4702888678014814;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334676
National Conference on New Trends in Applied Linguistics and Translation Studies;Baharestan, Isfahan;21;1;2019;21;1;2019;-76.09891304501504;73.99263207740391;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335236
Natural Language Processing in Artificial Intelligence 2019;Prague;19;1;2019;21;1;2019;28.04991383420337;85.23651001749012;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346376
Spanish Linguistics in North Carolina 2019;Chapel Hill, NC;09;1;2019;09;1;2019;40.59943648230165;-153.32494852950984;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341716
Specialised Discourse and Multimedia: Linguistic features and translation issues;Lecce;14;1;2019;16;1;2019;-33.75793220636941;71.8185703318258;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324217
Task-based Teaching and the Place of Grammar in Secondary-School Foreign-Language Classes : Finding a Common Ground;Paris Nanterre;08;1;2019;09;1;2019;-34.77451908203599;124.19687800931348;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325096
Texas Linguistics Society;Austin, Texas;22;1;2019;24;1;2019;57.49290846469352;96.28847630250142;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344736
The University of Alabama Languages Conference;Tuscaloosa, AL;08;1;2019;09;1;2019;-82.22769494042426;-34.814691763709135;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343616
Time and Temporality in the Asian and European Modernity;Hyderabad, South India;15;1;2019;17;1;2019;-5.790529166269208;140.35846125034405;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325776
Transdisciplinary Approaches to Language Variation 2;Limassol;15;1;2019;16;1;2019;3.8569784587335585;-0.9566366504390447;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345496
Workshop in Cognitive Approaches in Language Learning and Bilingualism;University of Gothenburg;07;1;2019;08;1;2019;6.495156813393392;172.44891681745375;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317076
XXXIX International VAKKI Symposium;Vaasa;07;1;2019;08;1;2019;46.46216061574125;-38.90478723832049;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332516
12th Toronto Undergraduate Linguistics Conference;Toronto;08;2;2019;10;2;2019;56.86081728073256;-139.623170164436;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355356
16th Workshop in General Linguistics;Madison, WI;30;2;2019;31;2;2019;54.508657450285796;37.39062163377138;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352936
20th Szklarska Poręba Workshop on the Roots of Pragmasemantics;Szklarska Poręba;01;2;2019;04;2;2019;32.61410149935206;160.42551530015854;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353976
22nd Annual Ohio State University Congress on Hispanic and Lusophone Linguistics;Columbus, Ohio;29;2;2019;30;2;2019;56.96399543031097;-51.71787386328901;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351716
25th Annual University of Texas Arlington Students Conference of Linguistics and TESOL;Arlington, TX;01;2;2019;02;2;2019;-30.15860505830512;-45.01693148580012;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353516
2nd International Conference on Bilingualism;University of Malta Valletta Campus;25;2;2019;27;2;2019;-79.23645785337172;-90.46021330935909;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325456
2nd International Conference on Theoretical East Asian Psycholinguistics;Tsinghua University, Beijing;16;2;2019;17;2;2019;89.14148536490441;129.4093683540103;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345556
"2nd Modern Linguistics &amp; Language Didactics Conference - Focus: Grammaticality Judgments &amp; Language Awareness";Bochum, NRW;28;2;2019;29;2;2019;-13.168271143598169;-71.91027500660374;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332376
32nd CUNY Conference on Human Sentence Processing;Boulder, Colorado;29;2;2019;31;2;2019;-82.66881922273285;-64.99767381404098;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349576
41st Annual Meeting of the Deutsche Gesellschaft für Sprachwissenschaft;Bremen;06;2;2019;08;2;2019;83.66477166899597;-159.65549421796803;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331396
43rd Annual Penn Linguistics Conference;Philadelphia, PA;22;2;2019;24;2;2019;-40.54564102587435;-36.10427681556199;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347996
4th International Conference: The Magic of Innovation: Integrative Trends in Linguistics and Foreign Language Teaching;Moscow;22;2;2019;23;2;2019;60.56293047748518;-150.2877492832805;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340616
50 Jahre Speech Acts – Bilanz und Perspektiven;Bremen;05;2;2019;05;2;2019;-86.04001434834476;69.07770291774123;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331196
6th Scarborough Undergraduate Linguistics Conference;Toronto, Ontario;01;2;2019;01;2;2019;-55.0675137959963;119.58925564684897;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356536
7th NTU Postgraduate Conference on Teaching Chinese as a Second Language;Taipei;23;2;2019;23;2;2019;-86.9549144585712;37.08762382947567;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336676
8th Annual Hispanic and Luso-Brazilian Linguistics Conference;Tempe, Arizona;29;2;2019;30;2;2019;-48.70386914106582;0.7572012266652847;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354776
AESLA International Conference – University of Valladolid (Spain): Bilingualism and Languages in Contact;Valladolid;27;2;2019;29;2;2019;-6.189272696996508;134.13694635209063;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335736
Apollonius and Priscian Colloquium Transmission, Translation, Tradition: History of Reception;Bordeaux;21;2;2019;23;2;2019;7.544185697251066;-47.931610909761794;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330496
Applied Linguistics and Language Teaching International Conference and Exhibition 2019;Dubai;07;2;2019;09;2;2019;21.5885835475091;46.45593261683352;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353356
BAAL TEA SIG Conference 2019;London;29;2;2019;29;2;2019;-18.518171692742424;-175.1142935933931;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343356
Chinese Culture in the Global Context International Conference 2019;Hong Kong;13;2;2019;15;2;2019;-2.8901202964361716;-157.5712804109047;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342556
Colloque Diachro IX Le français en diachronie;Salamanca;28;2;2019;30;2;2019;22.201754529160304;-27.017863043784914;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335096
Construcciones en español: contacto, variación y cambio;Berlin;27;2;2019;31;2;2019;12.449550928163239;-11.629321569912747;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322516
Current Trends in Linguistics 2019;Hamburg;28;2;2019;29;2;2019;-55.1348101992161;-134.825140045865;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340216
Descriptive Grammars and Typology: The Challenges of Writing Grammars of Underdescribed and Endangered Languages;Helsinki;27;2;2019;29;2;2019;-88.11202080892284;-108.51911189262911;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330796
Digital Approaches to Teaching Historical Languages;Berlin;28;2;2019;29;2;2019;-33.5320359457149;-113.98118889383272;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349636
Diversity of Writing Systems: Embracing Multiple Perspectives. Association of Written Language and Literacy's 12th International Workshop;Cambridge;26;2;2019;28;2;2019;-54.558010431537944;-60.057667745214104;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329336
Dominanz Macht Sprache;Cluj-Napoca;11;2;2019;12;2;2019;54.94961246645439;-79.60435931736575;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333016
Educating the Global Citizen – International Perspectives on Foreign Language Teaching in the Digital Age;Munich, Bavaria;25;2;2019;28;2;2019;46.09614522476766;152.71514900412976;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345756
Embodying Transitions Beings and Becomings;Madison, Wisconsin;06;2;2019;09;2;2019;1.4642579988954094;-124.98930123179726;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348296
English in Contact;Fukuoka;28;2;2019;29;2;2019;-59.83445603851095;40.8385198840393;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342996
English Studies at the Interface of Disciplines: Research and Practice - 2019;Skopje;21;2;2019;23;2;2019;43.90710282628583;-22.948303215690743;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332876
European Dialect Syntax (Edisyn) Workshop IX;Glasgow;22;2;2019;23;2;2019;40.17705862738834;-8.894280284412002;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350777
Forging Linguistic Identities;Towson, Maryland;14;2;2019;16;2;2019;-65.35811434735307;-23.81903552817221;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329096
Formal Approaches to South Asian Languages;Portland, Oregon;16;2;2019;17;2;2019;60.0427812626614;-96.8412110121079;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351476
Generative Approaches to Second Language Acquisition 15;Reno, NV;22;2;2019;24;2;2019;-89.02135725147907;138.34455903593178;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339656
Georgetown University Roundtable on Languages and Linguistics 2019;Washington, D.C.;29;2;2019;31;2;2019;-3.5891732206688;-58.636384621625226;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356096
Hradec Králové Anglophone Conference 2019;Hradec Králové;28;2;2019;29;2;2019;51.695051097055575;-25.467752977088594;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348276
International Conference on Current Trends in Linguistics;Rouen;28;2;2019;29;2;2019;-45.538385423259314;-177.08173296210907;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327437
International Conference on Education Quality 2019;Agadir;13;2;2019;15;2;2019;-8.199169926154372;-13.418472592314789;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339736
International Conference on Multilingualism and Multilingual Education;Bielefeld;21;2;2019;23;2;2019;2.963241807910213;86.44830072556078;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343216
International Symposium on Linguistics, Cognition, and Culture;Belo Horizonte - MG;13;2;2019;15;2;2019;-10.064133589095215;18.27711609918966;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339036
International Workshop on Degrees and Grammar: An East Asian Perspective;Nanjing, Jiangsu;16;2;2019;17;2;2019;39.4081953069307;-61.60451160967566;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340757
